Busnummer,RouteNaam,HalteNaam,Datum,Tijdstip,InfoLink
19,Geel/Tessenderlo - Diest,Geel Station perron 2,13-12-2022,12:46,https://www.delijn.be/nl/ritten/186411027/401911/401932/
19,Geel/Tessenderlo - Diest,Geel Station perron 2,13-12-2022,13:04,https://www.delijn.be/nl/ritten/186411030/401911/401932/
19,Geel/Tessenderlo - Diest,Geel Station perron 2,13-12-2022,14:04,https://www.delijn.be/nl/ritten/186411072/401911/401932/
19,Geel/Tessenderlo - Diest,Geel Station perron 2,13-12-2022,15:04,https://www.delijn.be/nl/ritten/186411035/401911/401932/
19,Geel/Tessenderlo - Diest,Geel Station perron 2,13-12-2022,17:03,https://www.delijn.be/nl/ritten/186411057/401911/401932/
19,Geel/Tessenderlo - Diest,Geel Station perron 2,13-12-2022,18:04,https://www.delijn.be/nl/ritten/186411079/401911/401932/
19,Geel/Tessenderlo - Diest,Geel Station perron 2,13-12-2022,19:04,https://www.delijn.be/nl/ritten/186411070/401911/401932/
19,Geel/Tessenderlo - Diest,Geel Station perron 2,13-12-2022,20:04,https://www.delijn.be/nl/ritten/186411069/401911/401932/
