Titel,Bedrijf,Locatie,Keywords,Link
Functional Analyst (Permanent position),Talent-IT,Antwerpen,Scrum master,https://www.ictjob.be/nl/it-vacatures-zoeken/entity/talent-it/536
Front-end developer (Permanent position),Talent-IT,Antwerpen,"React, React native",https://www.ictjob.be/nl/it-vacatures-zoeken/entity/talent-it/536
Android Engineer,ausy,Vilvoorde,"Mobile, android, development",https://www.ictjob.be/nl/it-vacatures-zoeken/entity/ausy/30
Helpdesk Support,AfinIT,Brussel,Printer Windows Office Network,https://www.ictjob.be/nl/it-vacatures-zoeken/entity/afinit/1298
Site Reliability Engineer,CluePoints,Louvain-la-Neuve,"Linux, Monitoring, Kubernetes, Helm",https://www.ictjob.be/nl/it-vacatures-zoeken/entity/cluepoints/2286
