Busnummer,RouteNaam,HalteNaam,Datum,Tijdstip,InfoLink
305,Leuven - Aarschot - Herentals - Turnhout,Leuven Station perron 15,18-12-2022,15:10,https://www.delijn.be/nl/ritten/185100072/13056/304909/?start=2022-12-18T15%3A11%3A00
306,Leuven - Geel,Leuven Station perron 15,18-12-2022,15:46,https://www.delijn.be/nl/ritten/186384660/430610/304909/?start=2022-12-18T15%3A11%3A00
305,Leuven - Aarschot - Herentals - Turnhout,Leuven Station perron 15,18-12-2022,17:10,https://www.delijn.be/nl/ritten/185100073/13056/304909/?start=2022-12-18T15%3A11%3A00
306,Leuven - Geel,Leuven Station perron 15,18-12-2022,17:44,https://www.delijn.be/nl/ritten/186384662/430610/304909/?start=2022-12-18T15%3A11%3A00
305,Leuven - Aarschot - Herentals - Turnhout,Leuven Station perron 15,18-12-2022,19:10,https://www.delijn.be/nl/ritten/185100074/13056/304909/?start=2022-12-18T15%3A11%3A00
305,Leuven - Aarschot - Herentals - Turnhout,Leuven Station perron 15,18-12-2022,21:10,https://www.delijn.be/nl/ritten/185100075/13056/304909/?start=2022-12-18T15%3A11%3A00
